resource_type,total_violations,repo_count
aws_cloudwatch_log_group.flow_log,2,1
module.consul_clients.aws_launch_configuration.launch_configuration,2,1
module.consul_clients.aws_security_group_rule.allow_all_outbound,2,1
module.consul_clients.aws_security_group_rule.allow_ssh_inbound,2,1
module.vpc.aws_vpc.this[0],2,1
module.consul_servers.aws_launch_configuration.launch_configuration,2,1
module.consul_servers.aws_security_group_rule.allow_all_outbound,2,1
module.consul_servers.aws_security_group_rule.allow_ssh_inbound,2,1
module.flow_log.aws_cloudwatch_log_group.this,1,1
module.flow_log_s3.aws_cloudwatch_log_group.this,1,1
module.flow_log_cloudwatch_external.aws_cloudwatch_log_group.this,1,1
module.consul_servers.module.security_group_rules.module.client_security_group_rules.aws_security_group_rule.allow_serf_lan_udp_inbound_from_self,1,1
module.disabled.aws_cloudwatch_log_group.this,1,1
module.vpc.aws_default_vpc.this[0],1,1
module.consul_servers.module.security_group_rules.module.client_security_group_rules.aws_security_group_rule.allow_serf_lan_udp_inbound,1,1
module.consul_servers.module.security_group_rules.module.client_security_group_rules.aws_security_group_rule.allow_serf_lan_tcp_inbound_from_self,1,1
module.consul_servers.module.security_group_rules.module.client_security_group_rules.aws_security_group_rule.allow_serf_lan_tcp_inbound,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_server_rpc_inbound_from_self,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_server_rpc_inbound,1,1
module.flow_log_s3_parquet.aws_cloudwatch_log_group.this,1,1
module.vpc.aws_vpc.this,1,1
module.vpc.aws_eip.nat[0],1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_serf_wan_udp_inbound,1,1
module.vpc_endpoints.aws_security_group.this[0],1,1
module.vpc_endpoints_nocreate.aws_security_group.this,1,1
module.vpc_ipam_set_cidr.aws_vpc.this,1,1
module.vpc_ipam_set_netmask.aws_eip.nat,1,1
module.vpc_ipam_set_netmask.aws_vpc.this,1,1
module.vpc_issue_108.aws_eip.nat[0],1,1
module.vpc_issue_108.aws_vpc.this,1,1
module.vpc_issue_44.aws_vpc.this,1,1
module.vpc_issue_46.aws_vpc.this,1,1
module.wrapper.aws_default_vpc.this,1,1
module.wrapper.aws_security_group.this,1,1
module.wrapper.aws_vpc.this,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_serf_wan_udp_inbound_from_self,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_http_api_inbound,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_serf_wan_tcp_inbound_from_self,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_serf_wan_tcp_inbound,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_cli_rpc_inbound,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_cli_rpc_inbound_from_self,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_dns_tcp_inbound,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_dns_tcp_inbound_from_self,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_dns_udp_inbound,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_dns_udp_inbound_from_self,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_http_api_inbound,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_http_api_inbound_from_self,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_serf_wan_tcp_inbound,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_serf_wan_tcp_inbound_from_self,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_serf_wan_udp_inbound,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_serf_wan_udp_inbound_from_self,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_server_rpc_inbound,1,1
module.consul_clients.module.security_group_rules.aws_security_group_rule.allow_server_rpc_inbound_from_self,1,1
module.consul_clients.module.security_group_rules.module.client_security_group_rules.aws_security_group_rule.allow_serf_lan_tcp_inbound,1,1
module.consul_clients.module.security_group_rules.module.client_security_group_rules.aws_security_group_rule.allow_serf_lan_tcp_inbound_from_self,1,1
module.consul_clients.module.security_group_rules.module.client_security_group_rules.aws_security_group_rule.allow_serf_lan_udp_inbound,1,1
module.consul_clients.module.security_group_rules.module.client_security_group_rules.aws_security_group_rule.allow_serf_lan_udp_inbound_from_self,1,1
module.consul_servers.aws_autoscaling_group.autoscaling_group,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_cli_rpc_inbound,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_cli_rpc_inbound_from_self,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_dns_tcp_inbound,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_dns_tcp_inbound_from_self,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_dns_udp_inbound,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_dns_udp_inbound_from_self,1,1
module.consul_clients.aws_autoscaling_group.autoscaling_group,1,1
module.consul_servers.module.security_group_rules.aws_security_group_rule.allow_http_api_inbound_from_self,1,1
s3_bucket,1,1
